26年1月1日;创 1-3
26年6月30日;代下 19-23
26年7月1日;俄,诗 82-83
26年7月2日;王下 1-4
26年7月3日;王下 5-8
26年7月4日;王下 9-11
26年7月5日;王下 12-13,代下 24
26年7月6日;王下 14,代下 25
26年7月7日;拿
26年7月8日;王下 15,代下 26
26年7月9日;赛 1-4
26年7月10日;赛 5-8
26年7月11日;摩 1-5
26年7月12日;摩 6-9
26年7月13日;代下 27,赛 9-12
26年7月14日;弥
26年7月15日;代下 28,王下 16-17
26年7月16日;赛 13-17
26年7月17日;赛 18-22
26年7月18日;赛 23-27
26年7月19日;王下 18:1-8,代下 29-31,诗 48
26年7月20日;何 1-7
26年7月21日;何 8-14
26年7月22日;赛 28-30
26年7月23日;赛 31-34
26年7月24日;赛 35-36
26年7月25日;赛 37-39,诗 76
26年7月26日;赛 40-43
26年7月27日;赛 44-48
26年7月28日;王下 18:9-19:37,诗 46,80,135
26年7月29日;赛 49-53
26年7月30日;赛 54-58
26年7月31日;赛 59-63
26年8月1日;赛 64-66
26年8月2日;王下 20-21
26年8月3日;代下 32-33
26年8月4日;鸿
26年8月5日;王下 22-23,代下 34-35
26年8月6日;番
26年8月7日;耶 1-3
26年8月8日;耶 4-6
26年8月9日;耶 7-9
26年8月10日;耶 10-13
26年8月11日;耶 14-17
26年8月12日;耶 18-22
26年8月13日;耶 23-25
26年8月14日;耶 26-29
26年8月15日;耶 30-31
26年8月16日;耶 32-34
26年8月17日;耶 35-37
26年8月18日;耶 38-40,诗 74,79
26年8月19日;王下 24-25,代下 36
26年8月20日;哈
26年8月21日;耶 41-45
26年8月22日;耶 46-48
26年8月23日;耶 49-50
26年8月24日;耶 51-52
26年8月25日;哀 1:1-3:36
26年8月26日;哀 3:37-5:22
26年8月27日;结 1-4
26年8月28日;结 5-8
26年8月29日;结 9-12
26年8月30日;结 13-15
26年8月31日;结 16-17
26年9月1日;结 18-19
26年9月2日;结 20-21
26年9月3日;结 22-23
26年9月4日;结 24-27
26年9月5日;结 28-31
26年9月6日;结 32-34
26年9月7日;结 35-37
26年9月8日;结 38-39
26年9月9日;结 40-41
26年9月10日;结 42-43
26年9月11日;结 44-45
26年9月12日;结 46-48
26年9月13日;珥
26年9月14日;但 1-3
26年9月15日;但 4-6
26年9月16日;但 7-9
26年9月17日;但 10-12
26年9月18日;拉 1-3
26年9月19日;拉 4-6,诗 137
26年9月20日;该
26年9月21日;亚 1-7
26年9月22日;亚 8-14
26年9月23日;斯 1-5
26年9月24日;斯 6-10
26年9月25日;拉 7-10
26年9月26日;尼 1-5
26年9月27日;哀 3:37-5:22
26年9月28日;尼 6-7
26年9月29日;尼 11-13,诗 126
26年9月30日;玛
26年10月1日;路 1,约 1:1-14
26年10月2日;太 2,路 2:39-52
26年10月3日;太 3,可 1,路 3
26年10月4日;太 4,路 4-5,约 1:15-51
26年10月5日;约 2-4
26年10月6日;太 8-9,可 2
26年10月7日;约 5
26年10月8日;太 12:1-21,可 3,路 6
26年10月9日;太 5-7
26年10月10日;太 8:1-13,路 7
26年10月11日;太 11
26年10月12日;太 12:22-50,路 11
26年10月13日;太 13,路 8
26年10月14日;太 8:14-34,可 4-5
26年10月15日;太 9-10
26年10月16日;太 14,可 6,路 9:1-17,约 6
26年10月17日;太 15,可 7
26年10月18日;太 16,可 8,路 9:18-27
26年10月19日;太 17,可 9,路 9:28-62
26年10月20日;太 18
26年10月21日;约 9:1-10:21
26年10月22日;路 10-11,约 10:22-42
26年10月23日;路 12-13
26年10月24日;路 14-15
26年10月25日;路 16-17:10
26年10月26日;约 11
26年10月27日;路 17:11-18:14
26年10月28日;太 19,可 10
26年10月29日;太 20-21
26年10月30日;路 18:15-19:48
26年10月31日;可 11,约 12
26年11月1日;太 22,可 12
26年11月2日;太 23,路 20-21
26年11月3日;可 13
26年11月4日;太 24
26年11月5日;太 25
26年11月6日;太 26,可 14
26年11月7日;路 22,约 13
26年11月8日;约 14-17
26年11月9日;太 27,可 15
26年11月10日;路 23,约 18-19
26年11月11日;太 28,可 16
26年11月12日;路 24,约 20-21
26年11月13日;徒 1-3
26年11月14日;徒 4-6
26年11月15日;徒 7-8
26年11月16日;徒 9-10
26年11月17日;徒 11-12
26年11月18日;徒 13-14
26年11月19日;雅
26年11月20日;徒 15-16
26年11月21日;加 1-3
26年11月22日;加 4-6
26年11月23日;徒 17-18:18
26年11月24日;帖前,贴后
26年11月25日;徒 18:19-19:41
26年11月26日;林前 1-4
26年11月27日;林前 5-8
26年11月28日;林前 9-11
26年11月29日;林前 12-14
26年11月30日;林前 15-16
26年12月1日;林后 1-4
26年12月2日;林后 5-9
26年12月3日;林后 10-13
26年12月4日;徒 20:1-3,罗 1-3
26年12月5日;罗 4-7
26年12月6日;罗 8-10
26年12月7日;罗 11-13
26年12月8日;罗 14-16
26年12月9日;徒 20:4-23:35
26年12月10日;徒 24-26
26年12月11日;徒 27-28
26年12月12日;西,门
26年12月13日;弗
26年12月14日;腓
26年12月15日;提前
26年12月16日;多
26年12月17日;彼前
26年12月18日;来 1-6
26年12月19日;来 7-10
26年12月20日;来 11-13
26年12月21日;提后
26年12月22日;彼后,犹
26年12月23日;约一
26年12月24日;约二,约三
26年12月25日;启 1-5
26年12月26日;启 6-11
26年12月27日;启 12-18
26年12月28日;启 19-22
